
style-guide.css
 1119:1   ✖  Unexpected duplicate selector "html *", first used at line 187                                                                                      no-duplicate-selectors                           
 1123:1   ✖  Unexpected duplicate selector "html", first used at line 191                                                                                        no-duplicate-selectors                           
 1126:1   ✖  Unexpected duplicate selector "body", first used at line 112                                                                                        no-duplicate-selectors                           
 1130:1   ✖  Expected selector "a" to come before selector "p a"                                                                                                 no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-main-nav li a"                                                                                   no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-main-nav li:first-of-type a"                                                                     no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector "p a"                                                                                                 no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector "p a"                                                                                                 no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-main-nav li a"                                                                                   no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-primary-nav ul li a"                                                                             no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-primary-nav ul li a:visited"                                                                     no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-primary-nav ul li a:hover"                                                                       no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-primary-nav ul li a:active"                                                                      no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-secondary-nav ul li a"                                                                           no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-secondary-nav ul li a:visited"                                                                   no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-secondary-nav ul li a:hover"                                                                     no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector ".cd-secondary-nav ul li a:active"                                                                    no-descending-specificity                        
 1130:1   ✖  Expected selector "a" to come before selector "p a"                                                                                                 no-descending-specificity                        
 1130:1   ✖  Unexpected duplicate selector "a", first used at line 198                                                                                           no-duplicate-selectors                           
 1133:1   ✖  Expected selector "img" to come before selector ".cd-logo img"                                                                                      no-descending-specificity                        
 1133:1   ✖  Expected selector "img" to come before selector ".cd-branding img"                                                                                  no-descending-specificity                        
 1133:1   ✖  Expected selector "img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(1) img"                                                no-descending-specificity                        
